타임스탬프,참가자 번호,1. 피드백 수용자의 수준을 파악하기 위한 다양한 평가 전략을 사용할 수 있다.,2. 피드백 수용자가 혼란스러워할 때 대체 설명이나 예시를 제공할 수 있다.,3. 피드백 수용자를 위한 좋은 질문을 만들 수 있다.,5. 피드백 수용자의 어려운 질문에 잘 대처 할 수 있다.,6. 피드백 수용자의 수준에 맞게 피드백을 조정할 수 있다.,7. 피드백 수용자가 나의 피드백을 얼마나 이해했는지 파악할 수 있다.,8. 능력이 뛰어난 피드백 수용자에게 적절한 피드백을 제공할 수 있다.,17. 피드백 수용자가 디자인 잘할 수 있다고 믿게 하기 위해 노력할 수 있다.,18. 피드백 수용자가 디자인에 가치를 두도록 도울 수 있다.,19. 디자인에 흥미를 보이지 않는 피드백 수용자에게 동기를 부여할 수 있다.,22. 피드백 수용자가 비판적으로 사고하도록 도울 수 있다.,23. 피드백 수용자의 창의력을 향상시킬 수 있다.,24. 디자인에 어려움을 겪는 피드백 수용자에게 도움을 줄 수 있다.
2024. 8. 12 오후 2:57:05,1,1,6,1,2,2,5,2,6,7,6,2,2,5
2024. 8. 12 오후 1:40:41,2,2,5,5,3,4,5,4,3,5,3,5,6,5
2024. 8. 16 오후 12:59:57,3,4,5,4,5,5,5,7,5,6,3,6,6,5
2024. 8. 14 오후 12:54:46,4,4,5,5,4,5,5,6,5,5,3,6,4,5
2024. 8. 16 오후 5:03:06,5,2,5,3,5,3,5,5,6,5,1,5,2,5
2024. 8. 14 오후 2:56:51,6,5,5,5,4,6,5,6,6,6,5,6,5,6
2024. 8. 12 오전 11:20:27,7,4,6,6,5,4,4,5,3,4,5,5,3,5
2024. 8. 13 오후 1:08:13,8,4,6,5,6,6,6,6,6,6,3,5,5,6
2024. 8. 13 오전 8:59:52,9,2,4,5,4,2,2,4,5,4,3,7,4,4
2024. 8. 12 오후 9:00:35,10,4,6,4,5,5,4,5,5,5,5,5,4,5
2024. 8. 12 오후 5:04:39,11,5,6,4,4,6,6,5,4,4,2,6,4,6
2024. 8. 13 오후 8:56:43,12,4,6,5,4,5,5,4,5,6,5,5,5,6
2024. 8. 14 오후 8:56:49,13,4,5,5,5,6,4,4,6,5,6,5,5,6
2024. 8. 13 오후 4:58:59,14,4,5,4,5,6,5,6,3,6,7,5,4,6
2024. 8. 16 오후 3:02:50,15,3,5,5,4,6,6,5,7,5,4,7,4,5
2024. 8. 15 오후 2:33:18,16,3,7,4,4,5,6,5,7,6,4,4,4,6
2024. 8. 13 오전 11:00:01,17,5,7,6,6,6,4,7,5,6,5,5,6,6
2024. 8. 12 오후 7:03:21,18,2,7,4,5,2,2,7,5,4,1,5,6,7
2024. 8. 15 오후 7:01:33,19,5,6,2,4,1,6,5,7,7,2,6,3,7
2024. 8. 14 오후 6:59:22,20,4,5,4,6,4,5,5,7,4,4,6,6,6
2024. 8. 15 오전 9:03:04,21,3,5,5,4,4,3,3,5,5,6,5,5,4
2024. 8. 14 오전 9:00:04,22,6,6,6,5,6,6,6,6,6,6,6,6,6
2024. 8. 15 오후 12:58:15,23,4,5,5,5,4,5,6,6,5,5,6,2,5
2024. 8. 13 오후 2:59:27,24,4,6,5,5,6,6,6,4,5,4,6,4,5